"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"XOM","Exxon Mobil Corporation","2021-08-18 20:00:00","54.4600","54.4700","54.4100","54.4700","1758"
"XOM","Exxon Mobil Corporation","2021-08-18 19:45:00","54.4100","54.4600","54.4100","54.4600","275"
"XOM","Exxon Mobil Corporation","2021-08-18 19:30:00","54.4200","54.4200","54.4000","54.4100","3612"
"XOM","Exxon Mobil Corporation","2021-08-18 19:15:00","54.4500","54.4500","54.4300","54.4300","1714"
"XOM","Exxon Mobil Corporation","2021-08-18 19:00:00","54.4400","54.4401","54.4400","54.4401","860"
"XOM","Exxon Mobil Corporation","2021-08-18 18:45:00","54.4600","54.4600","54.4500","54.4599","2721"
"XOM","Exxon Mobil Corporation","2021-08-18 18:30:00","54.4600","54.4800","54.4500","54.4700","1540"
"XOM","Exxon Mobil Corporation","2021-08-18 18:15:00","54.4700","54.4800","54.4400","54.4400","3728"
"XOM","Exxon Mobil Corporation","2021-08-18 18:00:00","54.4500","54.4700","54.4500","54.4700","634"
"XOM","Exxon Mobil Corporation","2021-08-18 17:45:00","54.4300","54.4500","54.4300","54.4500","248727"
"XOM","Exxon Mobil Corporation","2021-08-18 17:30:00","54.4000","54.4400","54.4000","54.4400","5223"
"XOM","Exxon Mobil Corporation","2021-08-18 17:15:00","54.4000","54.4400","54.4000","54.4100","3381"
"XOM","Exxon Mobil Corporation","2021-08-18 17:00:00","54.4899","54.4900","54.3900","54.4400","4259"
"XOM","Exxon Mobil Corporation","2021-08-18 16:45:00","54.4600","54.4600","54.4200","54.4200","1708"
"XOM","Exxon Mobil Corporation","2021-08-18 16:30:00","54.3200","54.5450","54.3200","54.5000","27237"
"XOM","Exxon Mobil Corporation","2021-08-18 16:15:00","54.4200","54.5500","54.3200","54.3200","304525"
"XOM","Exxon Mobil Corporation","2021-08-18 16:00:00","54.6900","54.7150","54.3100","54.4000","2606187"
"XOM","Exxon Mobil Corporation","2021-08-18 15:45:00","54.8000","54.8000","54.6200","54.6900","1422467"
"XOM","Exxon Mobil Corporation","2021-08-18 15:30:00","54.9500","54.9668","54.7901","54.8000","755980"
"XOM","Exxon Mobil Corporation","2021-08-18 15:15:00","55.0600","55.0650","54.9250","54.9524","777473"
"XOM","Exxon Mobil Corporation","2021-08-18 15:00:00","55.1700","55.1800","55.0500","55.0650","301894"
"XOM","Exxon Mobil Corporation","2021-08-18 14:45:00","55.2100","55.2800","55.1250","55.1700","385017"
"XOM","Exxon Mobil Corporation","2021-08-18 14:30:00","55.2200","55.2750","55.1400","55.2000","533408"
"XOM","Exxon Mobil Corporation","2021-08-18 14:15:00","55.3750","55.4859","55.2100","55.2300","280161"
"XOM","Exxon Mobil Corporation","2021-08-18 14:00:00","55.4150","55.4150","55.3300","55.3750","185941"
"XOM","Exxon Mobil Corporation","2021-08-18 13:45:00","55.3600","55.4199","55.3350","55.4102","190773"
"XOM","Exxon Mobil Corporation","2021-08-18 13:30:00","55.3110","55.3800","55.2750","55.3710","190619"
"XOM","Exxon Mobil Corporation","2021-08-18 13:15:00","55.3500","55.3700","55.2300","55.3100","212402"
"XOM","Exxon Mobil Corporation","2021-08-18 13:00:00","55.3130","55.3850","55.2800","55.3500","264934"
"XOM","Exxon Mobil Corporation","2021-08-18 12:45:00","55.2500","55.3200","55.2200","55.3100","310371"
"XOM","Exxon Mobil Corporation","2021-08-18 12:30:00","55.5450","55.5450","55.2400","55.2490","416311"
"XOM","Exxon Mobil Corporation","2021-08-18 12:15:00","55.6300","55.6900","55.5400","55.5450","325149"
