"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"ORCL","Oracle Corporation","2021-08-20 09:00:00",88.65,88.65,88.65,88.65,100
"INTC","Intel Corporation","2021-08-19 14:00:00",52.55,52.58,52.433,52.433,290461
"EBAY","eBay Inc.","2021-08-30 10:30:00",76.55,76.99,76.55,76.98,133034
"CSCO","Cisco Systems Inc","2021-09-02 14:15:00",59.11,59.245,59.101,59.245,238001
"MCD","McDonald's Corporation","2021-08-19 12:15:00",237.51,237.61,237.19,237.42,21382
"XOM","Exxon Mobil Corporation","2021-09-08 08:15:00",54.8499,54.8534,54.79,54.81,8538
"ORCL","Oracle Corporation","2021-09-08 17:45:00",89.69,89.69,89.69,89.69,102
"AMZN","Amazon.com Inc.","2021-08-18 19:15:00",3204.5,3204.5,3204.5,3204.5,202
"ORCL","Oracle Corporation","2021-08-20 13:15:00",89.165,89.17,89.09,89.14,119082
"AMZN","Amazon.com Inc.","2021-08-19 10:30:00",3225,3230.99,3220.8046,3227.25,177889
"INTC","Intel Corporation","2021-09-10 09:15:00",53.56,53.61,53.56,53.6,3516
"AXP","American Express Company","2021-09-02 13:45:00",161.85,161.92,161.54,161.59,106794
"GS","Goldman Sachs Group, Inc.","2021-09-08 15:15:00",406.87,407.4,406.83,406.895,35677
"AZN","Astrazeneca Plc.","2021-08-26 11:00:00",58.76,58.8534,58.72,58.78,147784
"GE","General Electric Company","2021-08-19 13:30:00",100.25,100.35,100.05,100.06,185833
"IBM","International Business Machines Corporation","2021-09-03 12:45:00",139.45,139.47,139.35,139.46,34212
"AMZN","Amazon.com Inc.","2021-09-10 20:00:00",3465,3465,3465,3465,195
"GE","General Electric Company","2021-09-09 09:45:00",102.36,104.01,102.11,103.82,957347
"GOOG","Google Inc.","2021-08-20 10:00:00",2742.38,2754.5099,2742.23,2750.59,30926
"CSCO","Cisco Systems Inc","2021-09-10 19:45:00",57.89,57.89,57.89,57.89,175
"GOOG","Google Inc.","2021-09-01 13:45:00",2923.03,2924.95,2923.03,2924.54,11423
"XOM","Exxon Mobil Corporation","2021-08-23 20:00:00",55.04,55.12,55,55.12,3543
"INTC","Intel Corporation","2021-09-01 10:30:00",53.94,54,53.755,53.9,800266
"CSCO","Cisco Systems Inc","2021-08-26 15:30:00",59.055,59.1,59.02,59.04,557468
"PFE","Pfizer Inc.","2021-08-23 18:00:00",50.1,50.15,50.03,50.05,23282
"PFE","Pfizer Inc.","2021-08-20 09:45:00",48.98,49.73,48.66,49.585,3655880
"AMZN","Amazon.com Inc.","2021-08-24 14:00:00",3304.28,3304.9999,3297.36,3297.36,34311
"PFE","Pfizer Inc.","2021-08-23 07:30:00",50.65,50.65,50.41,50.6,105078
"AAPL","Apple Computer, Inc.","2021-08-19 14:15:00",146.81,146.96,146.385,146.5,2366414
"WIT","Wipro Limited","2021-08-23 14:45:00",9.095,9.1,9.09,9.095,23032
"IBM","International Business Machines Corporation","2021-08-31 13:15:00",140.83,140.83,140.72,140.74,71386
"AAPL","Apple Computer, Inc.","2021-08-30 09:30:00",148.89,149,148.86,149,73059
"INTC","Intel Corporation","2021-09-13 09:30:00",54.27,54.6,54.21,54.6,50623
"GS","Goldman Sachs Group, Inc.","2021-09-13 14:15:00",407.25,408.13,407.24,407.36,37287
"CSCO","Cisco Systems Inc","2021-09-13 11:30:00",57.9214,57.93,57.845,57.85,303342
"PFE","Pfizer Inc.","2021-08-18 20:00:00",49.3,49.34,49.02,49.02,9582
"CSCO","Cisco Systems Inc","2021-08-26 09:15:00",59.41,59.41,59.25,59.34,5917
"MSFT","Microsoft Corporation","2021-09-03 18:45:00",300.92,300.92,300.92,300.92,205
"ORCL","Oracle Corporation","2021-09-03 08:15:00",89.99,89.99,89.99,89.99,1024
"DELL","Dell Inc.","2021-08-26 16:30:00",102.25,102.25,98.11,100.84,12962
"NOK","Nokia Corporation","2021-08-20 06:30:00",5.9,5.9,5.89,5.89,700
"JPM","J.P. Morgan Chase & Co.","2021-08-31 09:15:00",160.66,160.669,160.45,160.5,3360
"BAC","Bank of America Corporation","2021-08-24 10:45:00",41.4,41.445,41.35,41.395,1367125
"MSFT","Microsoft Corporation","2021-08-27 09:30:00",300.01,300.2,298.8,299.12,53569
"HPQ","Hewlett-Packard Company","2021-08-18 07:30:00",28.59,28.59,28.59,28.59,100
"GE","General Electric Company","2021-08-19 15:15:00",99.5,99.735,99.49,99.64,239082
"AMZN","Amazon.com Inc.","2021-08-30 11:15:00",3434.705,3440,3427.67,3439.21,141671
"INTC","Intel Corporation","2021-08-18 09:15:00",52.6,52.6,52.55,52.6,4583
"IBM","International Business Machines Corporation","2021-09-14 15:30:00",135.42,135.6155,135.34,135.4999,141087
"ADBE","Adobe Systems","2021-09-13 14:45:00",641.23,641.9,641.0131,641.715,40544
"AZN","Astrazeneca Plc.","2021-08-23 08:00:00",59.16,59.16,59.15,59.15,300
"PFE","Pfizer Inc.","2021-08-19 17:45:00",48.85,48.85,48.82,48.82,831
"MSFT","Microsoft Corporation","2021-08-24 19:45:00",302.75,302.8,302.64,302.65,5345
"GE","General Electric Company","2021-09-10 14:00:00",102.95,103.095,102.92,103.09,175759
"DELL","Dell Inc.","2021-08-30 09:45:00",97.56,98.15,96.4,96.72,133160
"GS","Goldman Sachs Group, Inc.","2021-08-20 11:30:00",393.5,394.5,393.5,393.75,39297
"GOOG","Google Inc.","2021-08-26 20:00:00",2841.635,2841.635,2841.635,2841.635,117
"AZN","Astrazeneca Plc.","2021-08-31 12:15:00",58.35,58.46,58.345,58.45,73182
"INTC","Intel Corporation","2021-09-08 13:00:00",53.215,53.25,53.154,53.22,308935
"EBAY","eBay Inc.","2021-09-10 15:45:00",72.865,72.96,72.74,72.805,244075
"WIT","Wipro Limited","2021-08-23 15:15:00",9.1,9.1,9.09,9.095,28940
"XOM","Exxon Mobil Corporation","2021-08-31 06:15:00",55.15,55.15,55.15,55.15,200
"AZN","Astrazeneca Plc.","2021-08-25 07:00:00",59.26,59.28,59.24,59.24,826
"CSCO","Cisco Systems Inc","2021-08-30 15:15:00",59.04,59.0478,58.99,59.035,251047
"BAC","Bank of America Corporation","2021-08-19 16:00:00",40.255,40.295,40.13,40.195,4173635
"MCD","McDonald's Corporation","2021-09-09 15:15:00",238.44,238.4898,238.19,238.2,33046
"GE","General Electric Company","2021-09-01 19:15:00",103.72,103.72,103.68,103.71,1917
"AAPL","Apple Computer, Inc.","2021-09-09 16:30:00",154.16,155.11,154.16,154.49,91961
"WIT","Wipro Limited","2021-09-09 13:30:00",9.445,9.45,9.43,9.43,50170
"MSFT","Microsoft Corporation","2021-09-10 14:00:00",299.15,299.1697,298.73,298.84,271538
"IBM","International Business Machines Corporation","2021-08-19 10:30:00",138.7913,138.81,138.3,138.395,145471
"AAPL","Apple Computer, Inc.","2021-08-23 15:15:00",150.03,150.08,149.94,150.035,1370352
"JPM","J.P. Morgan Chase & Co.","2021-08-31 19:00:00",160.03,160.19,160.03,160.19,830
"PFE","Pfizer Inc.","2021-09-14 17:00:00",44.72,44.72,44.64,44.64,3067
"AAPL","Apple Computer, Inc.","2021-08-18 18:00:00",146.22,146.39,146.22,146.34,809118
"MCD","McDonald's Corporation","2021-09-09 13:45:00",238.56,238.76,238.29,238.61,58764
"MCD","McDonald's Corporation","2021-09-01 16:15:00",238.15,238.15,238.15,238.15,227918
"TM","Toyota Motor Corporation","2021-09-10 10:45:00",178.39,178.4,177.56,177.58,10668
"GOOG","Google Inc.","2021-09-09 19:30:00",2896.51,2896.51,2896,2896,422
"JPM","J.P. Morgan Chase & Co.","2021-08-18 13:00:00",157.2,157.43,157.17,157.34,150759
"TM","Toyota Motor Corporation","2021-09-03 14:00:00",178.86,178.86,178.72,178.78,3130
"AMZN","Amazon.com Inc.","2021-09-09 08:45:00",3527,3527.09,3527,3527,1366
"XOM","Exxon Mobil Corporation","2021-09-10 15:45:00",54.045,54.085,53.975,54.045,710701
"JNJ","Johnson & Johnson","2021-09-13 15:30:00",165.28,165.5301,165.25,165.5,225573
"IBM","International Business Machines Corporation","2021-08-23 15:15:00",140.025,140.049,139.87,139.9,66965
"BCS","Barclays Plc","2021-09-02 05:45:00",10.26,10.26,10.26,10.26,1973
"HPQ","Hewlett-Packard Company","2021-08-19 10:00:00",27.965,28.09,27.85,27.865,296867
"EBAY","eBay Inc.","2021-09-08 17:15:00",73.89,73.89,73.89,73.89,195
"AZN","Astrazeneca Plc.","2021-08-19 17:00:00",59.21,59.21,59.21,59.21,200
"MCD","McDonald's Corporation","2021-08-25 15:00:00",238.81,238.82,238.64,238.68,24678
"AMZN","Amazon.com Inc.","2021-09-03 08:15:00",3467,3470.022,3466.119,3468.5873,2783
"EBAY","eBay Inc.","2021-08-31 15:30:00",76.9,76.98,76.86,76.8678,212087
"DELL","Dell Inc.","2021-08-26 12:30:00",102.065,102.29,102.0604,102.085,69377
"GOOG","Google Inc.","2021-08-26 15:00:00",2851.82,2852.71,2850.4337,2851.87,15381
"TM","Toyota Motor Corporation","2021-09-13 10:45:00",178.015,178.245,178.005,178.05,3358
"PFE","Pfizer Inc.","2021-08-30 16:00:00",46.705,46.77,46.69,46.76,1848618
"CSCO","Cisco Systems Inc","2021-08-20 17:00:00",58.17,58.31,58.15,58.31,4484
"MSFT","Microsoft Corporation","2021-08-31 14:00:00",303.0328,303.31,302.9925,303.1899,268860
"CSCO","Cisco Systems Inc","2021-08-19 17:00:00",57.5,57.51,57.27,57.5,115449
"JPM","J.P. Morgan Chase & Co.","2021-09-08 15:15:00",158.45,158.6,158.35,158.57,142663
"MSFT","Microsoft Corporation","2021-09-10 15:45:00",296.95,297.09,296.31,296.7,802695
"GE","General Electric Company","2021-08-20 14:45:00",100.0916,100.13,100.005,100.03,112990
"AAPL","Apple Computer, Inc.","2021-08-26 05:30:00",148.08,148.08,148.07,148.07,1004
"AAPL","Apple Computer, Inc.","2021-09-13 16:30:00",149.55,149.68,149.46,149.67,34568
"INTC","Intel Corporation","2021-08-24 12:45:00",53.62,53.76,53.6,53.74,415714
"MSFT","Microsoft Corporation","2021-08-31 10:45:00",303.035,303.31,302.93,303.1,420555
